cites,authors,title,year,source,publisher,abstract,text
69,A Iwasaki,What reinfections mean for COVID-19,2021,The Lancet Infectious Diseases,thelancet.com,"One of the key questions in predicting the course of the COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is how well and how long the immune responses protect the host from reinfection. For some viruses, the first infection ??","What reinfections mean for COVID-19 One of the key questions in predicting the course of the COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is how well and how long the immune responses protect the host from reinfection. For some viruses, the first infection ??"
9,"??, M Lynch, B Dahl, O Henao, CDC COVID??","Mitigation Policies and COVID-19?CAssociated Mortality??37 European Countries, January 23?CJune 30, 2020",2021,?? and Mortality Weekly ??,ncbi.nlm.nih.gov,"As cases and deaths from coronavirus disease 2019 (COVID-19) in Europe rose sharply in late March, most European countries implemented strict mitigation policies, including closure of nonessential businesses and mandatory stay-at-home orders. These policies were largely successful at curbing ??","Mitigation Policies and COVID-19?CAssociated Mortality??37 European Countries, January 23?CJune 30, 2020 As cases and deaths from coronavirus disease 2019 (COVID-19) in Europe rose sharply in late March, most European countries implemented strict mitigation policies, including closure of nonessential businesses and mandatory stay-at-home orders. These policies were largely successful at curbing ??"
24,"F Callard, E Perego",How and why patients made Long Covid,2021,Social Science & Medicine,Elsevier,"Abstract Patients collectively made Long Covid?Cand cognate term 'Long-haul Covid'?Cin the first months of the pandemic. Patients, many with initially 'mild'illness, used various kinds of evidence and advocacy to demonstrate a longer, more complex course of illness than laid ??","How and why patients made Long Covid Abstract Patients collectively made Long Covid?Cand cognate term 'Long-haul Covid'?Cin the first months of the pandemic. Patients, many with initially 'mild'illness, used various kinds of evidence and advocacy to demonstrate a longer, more complex course of illness than laid ??"
12,"??, PM McKeigue, HM Colhoun, PHS COVID??",Risks of and risk factors for COVID-19 disease in people with diabetes: a cohort study of the total population of Scotland,2021,The Lancet Diabetes & ??,Elsevier,"Background We aimed to ascertain the cumulative risk of fatal or critical care unit-treated COVID-19 in people with diabetes and compare it with that of people without diabetes, and to investigate risk factors for and build a cross-validated predictive model of fatal or critical ??","Risks of and risk factors for COVID-19 disease in people with diabetes: a cohort study of the total population of Scotland Background We aimed to ascertain the cumulative risk of fatal or critical care unit-treated COVID-19 in people with diabetes and compare it with that of people without diabetes, and to investigate risk factors for and build a cross-validated predictive model of fatal or critical ??"
12,"CDC COVID, R Team","Allergic reactions including anaphylaxis after receipt of the first dose of Pfizer-BioNTech COVID-19 vaccine??United States, December 14?C23, 2020",2021,Morbidity and Mortality Weekly Report,ncbi.nlm.nih.gov,"During December 14?C23, 2020, monitoring by the Vaccine Adverse Event Reporting System detected 21 cases of anaphylaxis after administration of a reported 1,893,360 first doses of the Pfizer-BioNTech COVID-19 vaccine (11.1 cases per million doses); 71% of these ??","Allergic reactions including anaphylaxis after receipt of the first dose of Pfizer-BioNTech COVID-19 vaccine??United States, December 14?C23, 2020 During December 14?C23, 2020, monitoring by the Vaccine Adverse Event Reporting System detected 21 cases of anaphylaxis after administration of a reported 1,893,360 first doses of the Pfizer-BioNTech COVID-19 vaccine (11.1 cases per million doses); 71% of these ??"
8,"B Young, TT Tan, YS Leo",The place for remdesivir in COVID-19 treatment,2021,The Lancet. Infectious Diseases,ncbi.nlm.nih.gov,Finding antivirals that reduce mortality from severe respiratory viral infections has proven challenging. Phase 3 trials of baloxavir and pimodivir for severe influenza were unsuccessful (NCT03684044 and NCT03376321). Lopinavir?Critonavir and ??,The place for remdesivir in COVID-19 treatment Finding antivirals that reduce mortality from severe respiratory viral infections has proven challenging. Phase 3 trials of baloxavir and pimodivir for severe influenza were unsuccessful (NCT03684044 and NCT03376321). Lopinavir?Critonavir and ??
2217,"M Cascella, M Rajnik, A Cuomo, SC Dulebohn??","Features, evaluation, and treatment of coronavirus (COVID-19)",2021,Statpearls ??,ncbi.nlm.nih.gov,Objectives: Identify the etiology of coronavirus in patients. Describe the findings expected in patients with coronavirus. Summarize treatment options available for coronavirus. Discuss interprofessional team strategies for improving care coordination and communication to care ??,"Features, evaluation, and treatment of coronavirus (COVID-19) Objectives: Identify the etiology of coronavirus in patients. Describe the findings expected in patients with coronavirus. Summarize treatment options available for coronavirus. Discuss interprofessional team strategies for improving care coordination and communication to care ??"
5,"CDC COVID, R Team","Allergic reactions including anaphylaxis after receipt of the first dose of Moderna COVID-19 Vaccine??United States, December 21, 2020?CJanuary 10, 2021",2021,Morbidity and Mortality Weekly Report,ncbi.nlm.nih.gov,"As of January 20, 2021, a total of 24,135,690 cases of coronavirus disease 2019 (COVID-19) and 400,306 associated deaths had been reported in the United States (https://covid. cdc. gov/covid-data-tracker/# cases_casesper100klast7days). On December 18, 2020, the ??","Allergic reactions including anaphylaxis after receipt of the first dose of Moderna COVID-19 Vaccine??United States, December 21, 2020?CJanuary 10, 2021 As of January 20, 2021, a total of 24,135,690 cases of coronavirus disease 2019 (COVID-19) and 400,306 associated deaths had been reported in the United States (https://covid. cdc. gov/covid-data-tracker/# cases_casesper100klast7days). On December 18, 2020, the ??"
5,"??, S de Bruin, APJ Vlaar, AUMC COVID??",Afucosylated IgG characterizes enveloped viral responses and correlates with COVID-19 severity,2021,??,science.sciencemag.org,"INTRODUCTION Antibody function is often considered static and mostly determined by isotype and subclass. The conserved N-linked glycan at position 297 in the Fc domain of immunoglobulin G (IgG) is essential for an antibody's effector functions. Moreover, this ??","Afucosylated IgG characterizes enveloped viral responses and correlates with COVID-19 severity INTRODUCTION Antibody function is often considered static and mostly determined by isotype and subclass. The conserved N-linked glycan at position 297 in the Fc domain of immunoglobulin G (IgG) is essential for an antibody's effector functions. Moreover, this ??"
18,"B Gallo Marin, G Aghagoli, K Lavine??",Predictors of COVID?\19 severity: A literature review,2021,Reviews in medical ??,Wiley Online Library,"Summary The coronavirus disease 2019 (COVID?\19) pandemic is a rapidly evolving global emergency that continues to strain healthcare systems. Emerging research describes a plethora of patient factors??including demographic, clinical, immunologic, hematological ??","Predictors of COVID?\19 severity: A literature review Summary The coronavirus disease 2019 (COVID?\19) pandemic is a rapidly evolving global emergency that continues to strain healthcare systems. Emerging research describes a plethora of patient factors??including demographic, clinical, immunologic, hematological ??"
